WordItem,WordColor,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,WelcomeScreen.started,welcome.started,keyWelcome.started,WelcomeScreen.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,BlankScreen.started,textBlank.started,BlankScreen.stopped,Instructions.started,textinstructions.started,keyInstructions.started,Instructions.stopped,keyInstructions.keys,keyInstructions.rt,keyInstructions.duration,StudyTrials.started,textStudyTrials.started,StudyTrials.stopped,WaitScreen.started,textWaitScreen.started,keyWaitScreen.started,WaitScreen.stopped,keyWaitScreen.keys,keyWaitScreen.rt,keyWaitScreen.duration,BlankScreen_2.started,Blank.started,BlankScreen_2.stopped,Y_N_Screen.started,textY_N_Screen.started,keyY_N.started,Y_N_Screen.stopped,keyY_N.keys,keyY_N.rt,keyY_N.duration,TextTrials.started,textTestTrials.started,key_resp.started,TextTrials.stopped,trials_2.key_resp.keys,trials_2.key_resp.rt,trials_2.key_resp.duration,textBlank.stopped,EndScreen.started,text.started,EndScreen.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.026980313999956707,0.05786958799944841,0.05786958799944841,4.566024018999087,space,4.441796663000787,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-12-05_21h52.13.433,short term memory,2024.2.1,62.4371063220571,2024-12-05 21h52.31.695430 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,4.566097793998779,4.598207461000129,5.076782717000242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-12-05_21h52.13.433,short term memory,2024.2.1,62.4371063220571,2024-12-05 21h52.31.695430 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0772180069998285,5.0923912420003035,5.0923912420003035,10.798650925000402,space,5.687052948000201,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-12-05_21h52.13.433,short term memory,2024.2.1,62.4371063220571,2024-12-05 21h52.31.695430 +0530,
anxiety,blue,0,0,0,,,,0,0,0,0,,,,,10.835488501999862,,,,,,,,,12.799819013998786,12.812301198999194,13.30537489499875,,,,,,,,10.822546937999505,10.835488501999862,12.799684646999594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-12-05_21h52.13.433,short term memory,2024.2.1,62.4371063220571,2024-12-05 21h52.31.695430 +0530,
psychology,red,1,1,0,,,,0,1,1,3,,,,,13.326772177999374,,,,,,,,,15.299179912999534,15.311444207000022,15.799192250000488,,,,,,,,13.313488851999864,13.326772177999374,15.299131931999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-12-05_21h52.13.433,short term memory,2024.2.1,62.4371063220571,2024-12-05 21h52.31.695430 +0530,
bottle,red,2,2,0,,,,0,2,2,5,,,,,15.814988197000275,,,,,,,,,17.803026390000014,17.818535069000063,18.300183248000394,,,,,,,,15.80293095900015,15.814988197000275,17.80285518999881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-12-05_21h52.13.433,short term memory,2024.2.1,62.4371063220571,2024-12-05 21h52.31.695430 +0530,
croissant,red,3,3,0,,,,0,3,3,4,,,,,18.31627661299899,,,,,,,,,20.303045663999,20.314837652998904,20.799063944999943,,,,,,,,18.30364809599996,18.31627661299899,20.302888332000293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-12-05_21h52.13.433,short term memory,2024.2.1,62.4371063220571,2024-12-05 21h52.31.695430 +0530,
sad,blue,4,4,0,,,,0,4,4,1,,,,,20.814184056998783,,,,,,,,,22.806099847999576,22.819941468000252,23.307693312999618,,,,,,,,20.802212994,20.814184056998783,22.805772308000087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-12-05_21h52.13.433,short term memory,2024.2.1,62.4371063220571,2024-12-05 21h52.31.695430 +0530,
excitement,blue,5,5,0,,,,0,5,5,2,,,,,23.327817940000386,,,,,,,,,25.306002274999628,25.32154222799909,25.805597698999918,,,,,,,,23.314868491999732,23.327817940000386,25.30575741999928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-12-05_21h52.13.433,short term memory,2024.2.1,62.4371063220571,2024-12-05 21h52.31.695430 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.80613997799992,25.822143252999012,25.822143252999012,36.22164997999971,1,10.39241796799979,None,,,,,,,,,,,,,,,,,,,,,,1,001,2024-12-05_21h52.13.433,short term memory,2024.2.1,62.4371063220571,2024-12-05 21h52.31.695430 +0530,
