51.8691 	INFO 	Loaded monitor calibration from ['2024_08_09 11:23']
51.8841 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
52.2040 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x131e0aec0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x131e0af20>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x131e0b0d0>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x131e84190>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
52.2041 	EXP 	window1: backgroundImage = ''
52.2041 	EXP 	window1: backgroundFit = 'none'
52.2044 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x131e0ada0>
52.2046 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x131e0ada0>
52.2098 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x131e0ada0>
52.2108 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x131e0ada0>
52.2641 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x131e0ada0>
52.2643 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x131e0ada0>
52.2653 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x131e0ada0>
52.2663 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x131e0ada0>
52.2865 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
52.2865 	EXP 	window1: recordFrameIntervals = False
52.7287 	EXP 	window1: recordFrameIntervals = True
52.9955 	EXP 	Screen (0) actual frame rate measured at 62.44Hz
52.9957 	EXP 	window1: recordFrameIntervals = False
52.9985 	EXP 	window1: mouseVisible = False
58.5519 	INFO 	keyboard.Keyboard is using iohub backend.
58.5519 	INFO 	keyboard.Keyboard is using iohub backend.
58.5520 	INFO 	keyboard.Keyboard is using iohub backend.
58.5520 	INFO 	keyboard.Keyboard is using iohub backend.
58.5521 	INFO 	keyboard.Keyboard is using iohub backend.
58.5521 	INFO 	keyboard.Keyboard is using iohub backend.
58.5522 	EXP 	short term memory: status = STARTED
58.5531 	EXP 	window1: mouseVisible = False
58.8687 	EXP 	Created welcome = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='welcome', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
58.8690 	EXP 	window1: mouseVisible = False
58.8721 	EXP 	Created textBlank = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='textBlank', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
58.8725 	EXP 	window1: mouseVisible = False
58.9163 	EXP 	Created textinstructions = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Times New Roman', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='textinstructions', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
58.9165 	EXP 	window1: mouseVisible = False
