WordItem,WordColor,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,WelcomeScreen.started,welcome.started,keyWelcome.started,WelcomeScreen.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,BlankScreen.started,textBlank.started,BlankScreen.stopped,Instructions.started,textinstructions.started,keyInstructions.started,Instructions.stopped,keyInstructions.keys,keyInstructions.rt,keyInstructions.duration,StudyTrials.started,textStudyTrials.started,StudyTrials.stopped,WaitScreen.started,textWaitScreen.started,keyWaitScreen.started,WaitScreen.stopped,keyWaitScreen.keys,keyWaitScreen.rt,keyWaitScreen.duration,BlankScreen_2.started,Blank.started,BlankScreen_2.stopped,Y_N_Screen.started,textY_N_Screen.started,keyY_N.started,Y_N_Screen.stopped,keyY_N.keys,keyY_N.rt,keyY_N.duration,TextTrials.started,textTestTrials.started,key_resp.started,TextTrials.stopped,trials_2.key_resp.keys,trials_2.key_resp.rt,trials_2.key_resp.duration,textBlank.stopped,EndScreen.started,text.started,EndScreen.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.024496786000042903,0.052432106000026124,0.052432106000026124,6.74951599000002,space,6.652266102999988,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2024-12-06_11h25.46.012,short term memory,2024.2.1,58.75647859215271,2024-12-06 11h26.04.829994 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,6.749584028000015,6.7771291070000075,7.255716104000044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2024-12-06_11h25.46.012,short term memory,2024.2.1,58.75647859215271,2024-12-06 11h26.04.829994 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2559780280000155,7.2712889219999965,7.2712889219999965,12.129095231000008,space,4.851836741999989,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2024-12-06_11h25.46.012,short term memory,2024.2.1,58.75647859215271,2024-12-06 11h26.04.829994 +0530,
bottle,red,0,0,0,,,,0,0,0,5,,,,,12.161741575000008,,,,,,,,,13.13465237500003,13.146842289999995,13.632826370000032,,,,,,,,12.147211808000009,12.161741575000008,13.134482168000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2024-12-06_11h25.46.012,short term memory,2024.2.1,58.75647859215271,2024-12-06 11h26.04.829994 +0530,
anxiety,blue,1,1,0,,,,0,1,1,0,,,,,13.650659267000037,,,,,,,,,14.636422799000002,14.649738074000027,15.130604806999997,,,,,,,,13.639032133,13.650659267000037,14.636381516000029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2024-12-06_11h25.46.012,short term memory,2024.2.1,58.75647859215271,2024-12-06 11h26.04.829994 +0530,
sad,blue,2,2,0,,,,0,2,2,1,,,,,15.148256473000004,,,,,,,,,16.136798200000044,16.148982977999992,16.638863764999996,,,,,,,,15.136710243000039,15.148256473000004,16.136586980999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2024-12-06_11h25.46.012,short term memory,2024.2.1,58.75647859215271,2024-12-06 11h26.04.829994 +0530,
psychology,red,3,3,0,,,,0,3,3,3,,,,,16.656410679000032,,,,,,,,,17.642283333000023,17.65672709200004,18.13018536100003,,,,,,,,16.645028154000045,16.656410679000032,17.64212667800001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2024-12-06_11h25.46.012,short term memory,2024.2.1,58.75647859215271,2024-12-06 11h26.04.829994 +0530,
excitement,blue,4,4,0,,,,0,4,4,2,,,,,18.14801905400003,,,,,,,,,19.14126509800002,19.15246471300003,19.63962342000002,,,,,,,,18.13643361200002,18.14801905400003,19.141138433000037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2024-12-06_11h25.46.012,short term memory,2024.2.1,58.75647859215271,2024-12-06 11h26.04.829994 +0530,
croissant,red,5,5,0,,,,0,5,5,4,,,,,19.657502851999993,,,,,,,,,20.63269164799999,20.64487464199999,21.131272314,,,,,,,,19.644514800000024,19.657502851999993,20.632524439999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2024-12-06_11h25.46.012,short term memory,2024.2.1,58.75647859215271,2024-12-06 11h26.04.829994 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.13166519600003,21.145183949,21.145183949,29.698434091000024,1,8.538934842000003,None,,,,,,,,,,,,,,,,,,,,,,2,001,2024-12-06_11h25.46.012,short term memory,2024.2.1,58.75647859215271,2024-12-06 11h26.04.829994 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.69850390700003,29.71216606300004,30.200610349000044,,,,,,,,,,,,,,,,,,,2,001,2024-12-06_11h25.46.012,short term memory,2024.2.1,58.75647859215271,2024-12-06 11h26.04.829994 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.20078393099999,30.215389094000045,30.215389094000045,43.254737104000014,space,13.028375750999999,None,,,,,,,,,,,,2,001,2024-12-06_11h25.46.012,short term memory,2024.2.1,58.75647859215271,2024-12-06 11h26.04.829994 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,43.254813060000004,43.266891207000015,43.757339846000036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2024-12-06_11h25.46.012,short term memory,2024.2.1,58.75647859215271,2024-12-06 11h26.04.829994 +0530,
depression,None,0,0,0,n,3.395986845999971,None,,,,,0,0,0,10,43.78551755400002,,,,,,,,,47.18988943300002,47.20559803500004,47.69509573700003,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.77297868200003,43.78551755400002,43.78551755400002,47.189777143000015,n,3.395986845999971,None,,,,,2,001,2024-12-06_11h25.46.012,short term memory,2024.2.1,58.75647859215271,2024-12-06 11h26.04.829994 +0530,
psychology,red,1,1,0,n,10.02770007099997,None,,,,,0,1,1,3,47.71187923000002,,,,,,,,,57.75511950600003,57.76803646400003,58.25337514,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.70074448400004,47.71187923000002,47.71187923000002,57.75502934299999,n,10.02770007099997,None,58.270839050000006,,,,2,001,2024-12-06_11h25.46.012,short term memory,2024.2.1,58.75647859215271,2024-12-06 11h26.04.829994 +0530,
fascinated,None,2,2,0,n,0.7300210330000141,None,,,,,0,2,2,9,58.270839050000006,,,,,,,,,59.00408779100002,59.01686226000004,59.506570581999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.25694312300004,58.270839050000006,58.270839050000006,59.00398984399999,n,0.7300210330000141,None,,,,,2,001,2024-12-06_11h25.46.012,short term memory,2024.2.1,58.75647859215271,2024-12-06 11h26.04.829994 +0530,
sad,blue,3,3,0,y,0.7446204769999554,None,,,,,0,3,3,1,59.523487991000025,,,,,,,,,60.27270585299999,60.28505608300003,60.77591756100003,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.50983898000004,59.523487991000025,59.523487991000025,60.272605322000004,y,0.7446204769999554,None,,,,,2,001,2024-12-06_11h25.46.012,short term memory,2024.2.1,58.75647859215271,2024-12-06 11h26.04.829994 +0530,
bottle,red,4,4,0,y,1.0379635429999894,None,,,,,0,4,4,5,60.79180613800003,,,,,,,,,61.84575621900001,61.861963441,62.35295136900004,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.78126016700003,60.79180613800003,60.79180613800003,61.84566917500001,y,1.0379635429999894,None,,,,,2,001,2024-12-06_11h25.46.012,short term memory,2024.2.1,58.75647859215271,2024-12-06 11h26.04.829994 +0530,
croissant,red,5,5,0,y,0.643449644000043,None,,,,,0,5,5,4,62.36953086800003,,,,,,,,,63.018409539000004,63.032678188000034,63.523041734,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.359006959,62.36953086800003,62.36953086800003,63.018247073,y,0.643449644000043,None,,,,,2,001,2024-12-06_11h25.46.012,short term memory,2024.2.1,58.75647859215271,2024-12-06 11h26.04.829994 +0530,
television,None,6,6,0,n,0.6061238760000265,None,,,,,0,6,6,8,63.540785699000025,,,,,,,,,64.15630575400002,64.168987878,64.665232328,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.529803128000026,63.540785699000025,63.540785699000025,64.15621463000002,n,0.6061238760000265,None,,,,,2,001,2024-12-06_11h25.46.012,short term memory,2024.2.1,58.75647859215271,2024-12-06 11h26.04.829994 +0530,
anxiety,blue,7,7,0,y,0.5960350839999933,None,,,,,0,7,7,0,64.68414389899999,,,,,,,,,65.28787994100003,65.30067489999999,65.78781319900003,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.67201574300003,64.68414389899999,64.68414389899999,65.28778780900001,y,0.5960350839999933,None,65.80306664900002,,,,2,001,2024-12-06_11h25.46.012,short term memory,2024.2.1,58.75647859215271,2024-12-06 11h26.04.829994 +0530,
couch,None,8,8,0,n,0.6803711539999995,None,,,,,0,8,8,6,65.80306664900002,,,,,,,,,66.48728916200002,66.50321552600002,66.99760811300001,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.791944145,65.80306664900002,65.80306664900002,66.487195079,n,0.6803711539999995,None,,,,,2,001,2024-12-06_11h25.46.012,short term memory,2024.2.1,58.75647859215271,2024-12-06 11h26.04.829994 +0530,
excitement,blue,9,9,0,y,0.7236743039999851,None,,,,,0,9,9,2,67.01570360400001,,,,,,,,,67.75439411400004,67.76753766900003,68.26342190600002,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.00165714000002,67.01570360400001,67.01570360400001,67.75426940400001,y,0.7236743039999851,None,,,,,2,001,2024-12-06_11h25.46.012,short term memory,2024.2.1,58.75647859215271,2024-12-06 11h26.04.829994 +0530,
keyboard,None,10,10,0,n,0.8883125419999942,None,,,,,0,10,10,7,68.27756451600004,,,,,,,,,69.17013312900002,69.183754733,69.67466883100002,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.26668872800002,68.27756451600004,68.27756451600004,69.17003294,n,0.8883125419999942,None,,,,,2,001,2024-12-06_11h25.46.012,short term memory,2024.2.1,58.75647859215271,2024-12-06 11h26.04.829994 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.675041282,69.68952751,74.67242455400003,2,001,2024-12-06_11h25.46.012,short term memory,2024.2.1,58.75647859215271,2024-12-06 11h26.04.829994 +0530,
