WordItem,WordColor,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,WelcomeScreen.started,welcome.started,keyWelcome.started,WelcomeScreen.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,BlankScreen.started,textBlank.started,BlankScreen.stopped,Instructions.started,textinstructions.started,keyInstructions.started,Instructions.stopped,keyInstructions.keys,keyInstructions.rt,keyInstructions.duration,StudyTrials.started,textStudyTrials.started,StudyTrials.stopped,WaitScreen.started,textWaitScreen.started,keyWaitScreen.started,WaitScreen.stopped,keyWaitScreen.keys,keyWaitScreen.rt,keyWaitScreen.duration,BlankScreen_2.started,Blank.started,BlankScreen_2.stopped,Y_N_Screen.started,textY_N_Screen.started,keyY_N.started,Y_N_Screen.stopped,keyY_N.keys,keyY_N.rt,keyY_N.duration,textBlank.stopped,TextTrials.started,textTestTrials.started,key_resp.started,TextTrials.stopped,trials_2.key_resp.keys,trials_2.key_resp.rt,trials_2.key_resp.duration,EndScreen.started,text.started,EndScreen.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.02434021199997005,0.05202566499997374,0.05202566499997374,8.610811614,space,8.51640437399999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2024-12-06_11h30.00.654,short term memory,2024.2.1,61.576825985187,2024-12-06 11h30.11.122300 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,8.610898495000015,8.639628313000003,9.117478583999969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2024-12-06_11h30.00.654,short term memory,2024.2.1,61.576825985187,2024-12-06 11h30.11.122300 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.117937343999984,9.133824641000047,9.133824641000047,17.726383635000047,space,8.58724547700001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2024-12-06_11h30.00.654,short term memory,2024.2.1,61.576825985187,2024-12-06 11h30.11.122300 +0530,
sad,blue,0,0,0,,,,0,0,0,1,,,,,17.75759593199996,,,,,,,,,18.73309494099999,18.745017378000057,19.237616288000027,,,,,,,,17.743051364000053,17.75759593199996,18.732873314000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2024-12-06_11h30.00.654,short term memory,2024.2.1,61.576825985187,2024-12-06 11h30.11.122300 +0530,
psychology,red,1,1,0,,,,0,1,1,3,,,,,19.25523961500005,,,,,,,,,20.233770476000018,20.24600253899996,20.734008000000017,,,,,,,,19.243728533999956,19.25523961500005,20.233629082999983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2024-12-06_11h30.00.654,short term memory,2024.2.1,61.576825985187,2024-12-06 11h30.11.122300 +0530,
croissant,red,2,2,0,,,,0,2,2,4,,,,,20.749433910999983,,,,,,,,,21.73795351000001,21.751935253000056,22.237296259999994,,,,,,,,20.738024322,20.749433910999983,21.73779037099996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2024-12-06_11h30.00.654,short term memory,2024.2.1,61.576825985187,2024-12-06 11h30.11.122300 +0530,
excitement,blue,3,3,0,,,,0,3,3,2,,,,,22.254887412000016,,,,,,,,,23.23335587400004,23.25783264400002,23.73873426,,,,,,,,22.24359855900002,22.254887412000016,23.233197150000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2024-12-06_11h30.00.654,short term memory,2024.2.1,61.576825985187,2024-12-06 11h30.11.122300 +0530,
anxiety,blue,4,4,0,,,,0,4,4,0,,,,,23.75648112400006,,,,,,,,,24.73655993,24.748537644000066,25.235264124999958,,,,,,,,23.74473436400001,23.75648112400006,24.73639647799996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2024-12-06_11h30.00.654,short term memory,2024.2.1,61.576825985187,2024-12-06 11h30.11.122300 +0530,
bottle,red,5,5,0,,,,0,5,5,5,,,,,25.253145830999983,,,,,,,,,26.23325127800001,26.245596239000065,26.727438389999975,,,,,,,,25.24135761399998,25.253145830999983,26.233107090999965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2024-12-06_11h30.00.654,short term memory,2024.2.1,61.576825985187,2024-12-06 11h30.11.122300 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.728015907999975,26.741469806000055,26.741469806000055,30.26280250100001,1,3.517880644999991,None,,,,,,,,,,,,,,,,,,,,,,3,001,2024-12-06_11h30.00.654,short term memory,2024.2.1,61.576825985187,2024-12-06 11h30.11.122300 +0530,
