WordItem,WordColor,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,WelcomeScreen.started,welcome.started,keyWelcome.started,WelcomeScreen.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,BlankScreen.started,textBlank.started,BlankScreen.stopped,Instructions.started,textinstructions.started,keyInstructions.started,Instructions.stopped,keyInstructions.keys,keyInstructions.rt,keyInstructions.duration,StudyTrials.started,textStudyTrials.started,StudyTrials.stopped,textBlank.stopped,WaitScreen.started,textWaitScreen.started,keyWaitScreen.started,WaitScreen.stopped,keyWaitScreen.keys,keyWaitScreen.rt,keyWaitScreen.duration,BlankScreen_2.started,Blank.started,BlankScreen_2.stopped,Y_N_Screen.started,textY_N_Screen.started,keyY_N.started,Y_N_Screen.stopped,keyY_N.keys,keyY_N.rt,keyY_N.duration,TextTrials.started,textTestTrials.started,key_resp.started,TextTrials.stopped,trials_2.key_resp.keys,trials_2.key_resp.rt,trials_2.key_resp.duration,EndScreen.started,text.started,EndScreen.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.01830799399976968,0.042252603999713756,0.042252603999713756,2.835882685999877,space,2.742217673000141,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2024-12-06_19h11.44.226,short term memory,2024.2.1,59.16638013865784,2024-12-06 19h11.57.259734 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,2.8359640369999397,2.8663274229998024,3.339548363999711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2024-12-06_19h11.44.226,short term memory,2024.2.1,59.16638013865784,2024-12-06 19h11.57.259734 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3396338109996577,3.3537683559998186,3.3537683559998186,7.656947745999787,space,4.2873840379998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2024-12-06_19h11.44.226,short term memory,2024.2.1,59.16638013865784,2024-12-06 19h11.57.259734 +0530,
bottle,red,0,0,0,,,,0,0,0,5,,,,,7.692028614999799,,,,,,,,,8.65877905599973,8.670784851000008,9.158395078000012,,,,,,,,7.6792701729996224,7.692028614999799,8.658550169999671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2024-12-06_19h11.44.226,short term memory,2024.2.1,59.16638013865784,2024-12-06 19h11.57.259734 +0530,
excitement,blue,1,1,0,,,,0,1,1,2,,,,,9.178486189000068,,,,,,,,,10.16490235099991,10.174465245999727,10.668622734999644,,,,,,,,9.167111148999993,9.178486189000068,10.164854547999767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2024-12-06_19h11.44.226,short term memory,2024.2.1,59.16638013865784,2024-12-06 19h11.57.259734 +0530,
sad,blue,2,2,0,,,,0,2,2,1,,,,,10.686604882999745,,,,,,,,,11.66612454899996,11.67819469899996,12.180152780999833,,,,,,,,10.67204604499966,10.686604882999745,11.665970337999624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2024-12-06_19h11.44.226,short term memory,2024.2.1,59.16638013865784,2024-12-06 19h11.57.259734 +0530,
anxiety,blue,3,3,0,,,,0,3,3,0,,,,,12.198555195999688,,,,,,,,,13.159747564999634,13.171587935999924,13.656478748999689,,,,,,,,12.185920580999664,12.198555195999688,13.159513377999701,13.672813362999932,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2024-12-06_19h11.44.226,short term memory,2024.2.1,59.16638013865784,2024-12-06 19h11.57.259734 +0530,
croissant,red,4,4,0,,,,0,4,4,4,,,,,13.672813362999932,,,,,,,,,14.664897113999814,14.674641509999674,15.166232281999783,,,,,,,,13.66190073200005,13.672813362999932,14.664854233999904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2024-12-06_19h11.44.226,short term memory,2024.2.1,59.16638013865784,2024-12-06 19h11.57.259734 +0530,
psychology,red,5,5,0,,,,0,5,5,3,,,,,15.183341440999811,,,,,,,,,16.157950478999737,16.172253372999876,16.65825333199973,,,,,,,,15.17201955399969,15.183341440999811,16.15774756599967,16.671103006000067,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2024-12-06_19h11.44.226,short term memory,2024.2.1,59.16638013865784,2024-12-06 19h11.57.259734 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.658449732999998,16.671103006000067,16.671103006000067,19.71385499600001,1,3.0353136509997967,None,,,,,,,,,,,,,,,,,,,,,5,001,2024-12-06_19h11.44.226,short term memory,2024.2.1,59.16638013865784,2024-12-06 19h11.57.259734 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.71392688900005,19.726935388999664,20.219003291999798,,,,,,,,,,,,,,,,,,5,001,2024-12-06_19h11.44.226,short term memory,2024.2.1,59.16638013865784,2024-12-06 19h11.57.259734 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.21923128699973,20.232186974999877,20.232186974999877,24.62955035699997,space,4.382240076000016,None,,,,,,,,,,,5,001,2024-12-06_19h11.44.226,short term memory,2024.2.1,59.16638013865784,2024-12-06 19h11.57.259734 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,24.629640195999855,24.641511376999915,25.13175434599998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2024-12-06_19h11.44.226,short term memory,2024.2.1,59.16638013865784,2024-12-06 19h11.57.259734 +0530,
depression,None,0,0,0,y,1.5938153090000924,None,,,,,0,0,0,10,25.15696829699982,,,,,,,,,26.75433869399967,26.769525452999915,27.257076160999986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.145046851999723,25.15696829699982,25.15696829699982,26.75424430999965,y,1.5938153090000924,None,,,,5,001,2024-12-06_19h11.44.226,short term memory,2024.2.1,59.16638013865784,2024-12-06 19h11.57.259734 +0530,
anxiety,blue,1,1,0,y,0.7807520970000041,None,,,,,0,1,1,0,27.272925491000024,,,,,,,,,28.059917635999682,28.073025090999636,28.557354834999842,,,,,,,,,,,28.572369682000044,,,,,,,,,,,,,,,,,,27.262965509999958,27.272925491000024,27.272925491000024,28.059540059000028,y,0.7807520970000041,None,,,,5,001,2024-12-06_19h11.44.226,short term memory,2024.2.1,59.16638013865784,2024-12-06 19h11.57.259734 +0530,
psychology,red,2,2,0,y,0.8154977959998178,None,,,,,0,2,2,3,28.572369682000044,,,,,,,,,29.40183434399978,29.417270666999684,29.908157643999857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.562464986999657,28.572369682000044,28.572369682000044,29.401745082999696,y,0.8154977959998178,None,,,,5,001,2024-12-06_19h11.44.226,short term memory,2024.2.1,59.16638013865784,2024-12-06 19h11.57.259734 +0530,
keyboard,None,3,3,0,n,0.7428751520001242,None,,,,,0,3,3,7,29.924340158999712,,,,,,,,,30.68216126199968,30.694576968999627,31.187541258999772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.914465171999836,29.924340158999712,29.924340158999712,30.68206668499988,n,0.7428751520001242,None,,,,5,001,2024-12-06_19h11.44.226,short term memory,2024.2.1,59.16638013865784,2024-12-06 19h11.57.259734 +0530,
sad,blue,4,4,0,y,0.8113570189998427,None,,,,,0,4,4,1,31.201835391999794,,,,,,,,,32.01739252199968,32.029549054999734,32.52164398700006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.190122116999646,31.201835391999794,31.201835391999794,32.017297956999755,y,0.8113570189998427,None,,,,5,001,2024-12-06_19h11.44.226,short term memory,2024.2.1,59.16638013865784,2024-12-06 19h11.57.259734 +0530,
couch,None,5,5,0,n,1.827728904000196,None,,,,,0,5,5,6,32.53715321799973,,,,,,,,,34.379435139999714,34.391286348999984,34.88122542999963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.525493295999695,32.53715321799973,32.53715321799973,34.37934143599978,n,1.827728904000196,None,,,,5,001,2024-12-06_19h11.44.226,short term memory,2024.2.1,59.16638013865784,2024-12-06 19h11.57.259734 +0530,
bottle,red,6,6,0,y,0.7616190929998083,None,,,,,0,6,6,5,34.89462461999983,,,,,,,,,35.66304896499969,35.674759592999635,36.163512743999945,,,,,,,,,,,36.181335656999636,,,,,,,,,,,,,,,,,,34.88424427799964,34.89462461999983,34.89462461999983,35.66295525899977,y,0.7616190929998083,None,,,,5,001,2024-12-06_19h11.44.226,short term memory,2024.2.1,59.16638013865784,2024-12-06 19h11.57.259734 +0530,
excitement,blue,7,7,0,y,0.7146918590001405,None,,,,,0,7,7,2,36.181335656999636,,,,,,,,,36.91423129299983,36.923753332999695,37.41384249799967,,,,,,,,,,,37.43220545999975,,,,,,,,,,,,,,,,,,36.167841729999964,36.181335656999636,36.181335656999636,36.91413670599968,y,0.7146918590001405,None,,,,5,001,2024-12-06_19h11.44.226,short term memory,2024.2.1,59.16638013865784,2024-12-06 19h11.57.259734 +0530,
television,None,8,8,0,n,0.7825960139998642,None,,,,,0,8,8,8,37.43220545999975,,,,,,,,,38.218027166999946,38.23031561699963,38.71852736999972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.41868413899965,37.43220545999975,37.43220545999975,38.21793255700004,n,0.7825960139998642,None,,,,5,001,2024-12-06_19h11.44.226,short term memory,2024.2.1,59.16638013865784,2024-12-06 19h11.57.259734 +0530,
croissant,red,9,9,0,y,0.9541744170001039,None,,,,,0,9,9,4,38.73497570999962,,,,,,,,,39.69615861700004,39.70809757899997,40.202119008999944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.722503595000035,38.73497570999962,38.73497570999962,39.69606369899975,y,0.9541744170001039,None,,,,5,001,2024-12-06_19h11.44.226,short term memory,2024.2.1,59.16638013865784,2024-12-06 19h11.57.259734 +0530,
fascinated,None,10,10,0,n,0.6562421849998827,None,,,,,0,10,10,9,40.21830831199986,,,,,,,,,40.88377431899971,40.89608701299994,41.387738865999836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.20624406299976,40.21830831199986,40.21830831199986,40.88368123700002,n,0.6562421849998827,None,,,,5,001,2024-12-06_19h11.44.226,short term memory,2024.2.1,59.16638013865784,2024-12-06 19h11.57.259734 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.38790657699974,41.41271955399998,46.38914982000006,5,001,2024-12-06_19h11.44.226,short term memory,2024.2.1,59.16638013865784,2024-12-06 19h11.57.259734 +0530,
