46.0444 	INFO 	Loaded monitor calibration from ['2024_08_09 11:23']
46.0593 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
46.3819 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x137682f80>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x137682fe0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x137683190>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1377400d0>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
46.3820 	EXP 	window1: backgroundImage = ''
46.3821 	EXP 	window1: backgroundFit = 'none'
46.3825 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x137682e60>
46.3829 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x137682e60>
46.3920 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x137682e60>
46.3934 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x137682e60>
46.4927 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x137682e60>
46.4929 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x137682e60>
46.4939 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x137682e60>
46.4949 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x137682e60>
46.5123 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
46.5124 	EXP 	window1: recordFrameIntervals = False
46.9300 	EXP 	window1: recordFrameIntervals = True
47.1181 	EXP 	Screen (0) actual frame rate measured at 59.17Hz
47.1183 	EXP 	window1: recordFrameIntervals = False
47.1210 	EXP 	window1: mouseVisible = False
53.3185 	INFO 	keyboard.Keyboard is using iohub backend.
53.3186 	INFO 	keyboard.Keyboard is using iohub backend.
53.3187 	INFO 	keyboard.Keyboard is using iohub backend.
53.3187 	INFO 	keyboard.Keyboard is using iohub backend.
53.3187 	INFO 	keyboard.Keyboard is using iohub backend.
53.3188 	INFO 	keyboard.Keyboard is using iohub backend.
53.3188 	EXP 	short term memory: status = STARTED
53.3212 	EXP 	window1: mouseVisible = False
