stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.09346555500087561,,0.0790919529972598,0.09346555500087561,0.5196281160024228,0.5237816770022619,0.60171751499729,0.8022516050041304,4.3962073090006015,right,10.0,1,1,3.8322778180008754,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
1,1,8.0,4.439349965003203,,4.396447785002238,4.439349965003203,4.909784294999554,0.5185688769997796,4.943574712997361,5.2064341410005,7.234409427001083,left,-8.0,0,0,2.307232584003941,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
2,1,9.0,7.246429858998454,,7.234597713999392,7.246429858998454,7.743811981003091,0.5152923799978453,7.76146422400052,8.044842579998658,9.050655329003348,right,9.0,0,0,1.2885312470025383,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
3,1,10.0,9.062841468999977,,9.05084113900375,9.062841468999977,9.56325158099935,0.5004197000016575,9.5795541089974,,9.819444237000425,right,10.0,1,1,0.2535112219993607,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
4,1,10.0,9.83167266700184,,9.81962522899994,9.83167266700184,10.326600193002378,0.5143918889953056,10.345332851000421,,10.567673137004022,right,10.0,0,0,0.22062240300147096,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
5,1,11.0,10.579732199003047,,10.567874829001084,10.579732199003047,11.081092681000882,0.49977702899923315,11.098382156997104,,11.105570327003079,left,-11.0,0,0,0.029937300998426508,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
6,1,12.0,11.11848689999897,,11.105757604003884,11.11848689999897,11.611318715004018,0.5113092180035892,11.628378446999704,11.912028646002,11.898577061998367,left,-12.0,0,0,0.2633486430058838,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
7,1,13.0,11.912028646002,,11.898771820000547,11.912028646002,12.412513800998568,0.502257300002384,12.412513800998568,12.710902931001328,15.400571962003596,left,-13.0,0,0,2.996302460996958,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
8,1,14.0,15.418430655998236,,15.400842520997685,15.418430655998236,15.89955598099914,0.5036221640039003,15.933128552998824,16.207984396998654,19.967028443003073,left,-14.0,1,1,4.05036741499498,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
9,1,14.0,19.979238150001038,,19.96721168100339,19.979238150001038,20.47596907299885,0.5148938479978824,20.49370580699906,20.77788337200036,29.400509020000754,right,14.0,1,1,8.906039876994328,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
