reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
67.0,75.0,119.0,0,0,0,l,2.587002420000317,None,0,0,0,5,0.13629934700020385,,0.11651643300046999,0.13629934700020385,1.0156572530004269,1.0156572530004269,1.1414738030007356,3.6406293630006985,l,2.587002420000317,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
11.0,30.0,7.0,1,1,0,l,1.5998021030000018,None,0,1,1,0,3.672027006999997,,3.6503261310008384,3.672027006999997,4.641661841000314,4.641661841000314,4.671335116000591,6.255237683000814,l,1.5998021030000018,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
78.0,80.0,162.0,2,2,0,l,0.44653255499997613,None,0,2,2,6,6.275669611000012,,6.264657767000244,6.275669611000012,7.257583350000459,7.257583350000459,7.2862173360008455,7.706522355000743,l,0.44653255499997613,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
27.0,50.0,21.0,3,3,0,t,0.485969130999365,None,0,3,3,2,7.722557437000432,,7.711596491000819,7.722557437000432,8.716382034000162,8.716382034000162,8.73233898000035,9.20971095600089,t,0.485969130999365,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
15.0,35.0,13.0,4,4,0,t,0.5188193040003171,None,0,4,4,1,9.225133507000464,,9.213837484000578,9.225133507000464,10.219701507000536,10.219701507000536,10.234559896000064,10.746633054000085,t,0.5188193040003171,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
49.0,60.0,89.0,5,5,0,t,0.38199612199969124,None,0,5,5,4,10.761811151000074,,10.753759076000279,10.761811151000074,11.74480576300084,11.74480576300084,11.760374108000178,12.138208753000072,t,0.38199612199969124,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
40.0,55.0,62.0,6,6,0,l,0.38035914299962315,None,0,6,6,3,12.155436233000728,,12.144152635000864,12.155436233000728,13.137275893000151,13.137275893000151,13.167952178000633,13.526809536000655,l,0.38035914299962315,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
15.0,35.0,13.0,7,0,1,t,0.609371296000063,None,1,0,7,1,13.542075072000443,,13.530768855000133,13.542075072000443,14.533353583000462,14.533353583000462,14.548826362,15.158220592000362,t,0.609371296000063,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
11.0,30.0,7.0,8,1,1,t,0.38106397400042624,None,1,1,8,0,15.173020526000073,,15.162168909000684,15.173020526000073,16.169146700000056,16.169146700000056,16.184830341000634,16.559134522000022,t,0.38106397400042624,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
40.0,55.0,62.0,9,2,1,l,0.2158691650001856,None,1,2,9,3,16.574425961000088,,16.563172540000778,16.574425961000088,17.56290788500064,17.56290788500064,17.576260478000222,17.793054941000264,l,0.2158691650001856,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
