delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.4,400.0,exp,0,0,0,space,1.3662914799999726,None,500,1,[4.001824765000038],[4.001838086000021],0,0,0,7,0.08647512699997151,,0.06865609900000891,0.08647512699997151,1.0007030120000309,1.0007030120000309,1.1002138669999795,2.3982520339999382,space,1.3662914799999726,None,2.3989566860000195,2.8083518396666856,3.154156984999986,3.102384432000008,3.103623106999976,3.154156984999986,3.154156984999986,3.154156984999986,7.157801778000021,500,1,[4.001824765000038],[4.001838086000021],989988,001,2024-11-13_18h26.23.913,intentional binding,2024.2.1,None,2024-11-13 18h26.34.973807 +0530,
0.7,400.0,exp,1,1,0,space,0.46861211899999944,None,550,1,[2.769131860000016],[2.7691403150000724],0,1,1,5,7.171418090999964,,7.158281887000044,7.171418090999964,8.158640269999978,8.158640269999978,8.176049018999947,8.63466761899997,space,0.46861211899999944,None,8.63526626199996,9.341794587666657,9.656905388000041,9.636524451000014,9.637170018000006,9.656905388000041,9.656905388000041,9.656905388000041,12.42704125199998,550,1,[2.769131860000016],[2.7691403150000724],989988,001,2024-11-13_18h26.23.913,intentional binding,2024.2.1,None,2024-11-13 18h26.34.973807 +0530,
0.4,1000.0,unexp,2,2,0,space,1.9362555129999919,None,400,1,[5.2679100309999285],[5.267921100999956],0,2,2,1,12.440677929000003,,12.427730523000037,12.440677929000003,13.44472698100003,13.44472698100003,13.44472698100003,15.385065459999964,space,1.9362555129999919,None,15.385665819999986,15.793206323666611,16.124854217999996,16.098718942999994,16.099542851000024,16.124854217999996,16.124854217999996,16.124854217999996,21.39379532700002,400,1,[5.2679100309999285],[5.267921100999956],989988,001,2024-11-13_18h26.23.913,intentional binding,2024.2.1,None,2024-11-13 18h26.34.973807 +0530,
0.1,400.0,exp,3,3,0,space,0.7276262670000051,None,450,1,[4.8047852770000645],[4.804797708000024],0,3,3,9,21.40751417399997,,21.39432207699997,21.40751417399997,22.393322585999954,22.393322585999954,22.410363966999967,23.13734896599999,space,0.7276262670000051,None,23.13794981800004,23.24712898666668,23.581528984999977,23.554669229999945,23.555612060000044,23.581528984999977,23.581528984999977,23.581528984999977,28.387326400000006,450,1,[4.8047852770000645],[4.804797708000024],989988,001,2024-11-13_18h26.23.913,intentional binding,2024.2.1,None,2024-11-13 18h26.34.973807 +0530,
0.7,400.0,exp,4,4,0,space,0.909248649999995,None,500,1,[5.339463301000023],[5.339479673000028],0,4,4,8,28.400619535000033,,28.387646804000042,28.400619535000033,29.394088170000032,29.394088170000032,29.426662273000034,30.307069946999945,space,0.909248649999995,None,30.308050999999978,31.011642994666673,31.34252904999994,31.311520946999963,31.31258208899999,31.34252904999994,31.34252904999994,31.34252904999994,36.68321634999995,500,1,[5.339463301000023],[5.339479673000028],989988,001,2024-11-13_18h26.23.913,intentional binding,2024.2.1,None,2024-11-13 18h26.34.973807 +0530,
0.4,1000.0,unexp,5,5,0,space,1.9201338430000305,None,600,1,[5.476790151000046],[5.476800699000023],0,5,5,4,36.696406368,,36.68358085800003,36.696406368,37.694097641999974,37.694097641999974,37.694097641999974,39.622246007999934,space,1.9201338430000305,None,39.62290365699994,40.02800001366667,40.362210739000034,40.338786648999985,40.33943522300001,40.362210739000034,40.362210739000034,40.362210739000034,45.840162076999945,600,1,[5.476790151000046],[5.476800699000023],989988,001,2024-11-13_18h26.23.913,intentional binding,2024.2.1,None,2024-11-13 18h26.34.973807 +0530,
0.7,1000.0,unexp,6,6,0,space,0.6234585329999618,None,300,1,[3.522453083000073],[3.522470146000046],0,6,6,2,45.85348107699997,,45.84049267599994,45.85348107699997,46.843829837000044,46.843829837000044,46.86126936300002,47.473087385999975,space,0.6234585329999618,None,47.47377984399998,48.17555026666663,48.49597560699999,48.473138035000034,48.47384266200004,48.49597560699999,48.49597560699999,48.49597560699999,52.01981453799999,300,1,[3.522453083000073],[3.522470146000046],989988,001,2024-11-13_18h26.23.913,intentional binding,2024.2.1,None,2024-11-13 18h26.34.973807 +0530,
0.1,1000.0,unexp,7,7,0,space,1.4135695869999836,None,400,1,[3.2285446979999506],[3.228556731000026],0,7,7,3,52.03334577800001,,52.020152103999976,52.03334577800001,53.028596336999954,53.028596336999954,53.04451337900002,54.45403641099995,space,1.4135695869999836,None,54.45483676399999,54.56194216966664,54.895358836000014,54.87361782400001,54.874553402999936,54.895358836000014,54.895358836000014,54.895358836000014,58.12524964199997,400,1,[3.2285446979999506],[3.228556731000026],989988,001,2024-11-13_18h26.23.913,intentional binding,2024.2.1,None,2024-11-13 18h26.34.973807 +0530,
0.1,400.0,exp,8,8,0,space,0.7554351119999865,None,300,1,[5.964605450999898],[5.96462881299999],0,8,8,6,58.13946987500003,,58.12584142399999,58.13946987500003,59.12778778500001,59.12778778500001,59.14423829400005,59.88882181600002,space,0.7554351119999865,None,59.88944496399995,59.99656158066661,60.33272198199995,60.30556551400002,60.30652975600003,60.33272198199995,60.33272198199995,60.33272198199995,66.29917545700005,300,1,[5.964605450999898],[5.96462881299999],989988,001,2024-11-13_18h26.23.913,intentional binding,2024.2.1,None,2024-11-13 18h26.34.973807 +0530,
0.1,1000.0,unexp,9,9,0,space,1.5720136790000652,None,700,1,[5.875862760000018],[5.875976824999952],0,9,9,0,66.31239780099997,,66.29953635100003,66.31239780099997,67.31164354500004,67.31164354500004,67.33056729600003,68.89072125099995,space,1.5720136790000652,None,68.89139826500002,68.99405856266664,69.31888159799996,69.29063832899999,69.29154033099996,69.31888159799996,69.31888159799996,69.31888159799996,75.19761356799995,700,1,[5.875862760000018],[5.875976824999952],989988,001,2024-11-13_18h26.23.913,intentional binding,2024.2.1,None,2024-11-13 18h26.34.973807 +0530,
