pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,2.5762761979999595,None,0,0,0,0,,,,,0.06452817800027333,,0.05068841100001009,0.06452817800027333,1.0044558110002981,1.0044558110002981,1.0044558110002981,1.0044558110002981,1.073906217000058,2.006482946000233,2.006482946000233,4.615317938000317,x,1,2.5762761979999595,None,,,,,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
150,v,1,1,0,v,1,1.8464753800003564,None,0,1,1,1,,,,,4.642348145000142,,4.615756271999999,4.642348145000142,5.61504849100038,5.61504849100038,5.61504849100038,5.61504849100038,5.644010033000086,6.616776779000247,6.616776779000247,8.479663904000063,v,1,1.8464753800003564,None,,,,,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
50,c,2,2,0,c,1,2.1238763080000354,None,0,2,2,2,,,,,8.492229311000301,,8.480196586000147,8.492229311000301,9.483634769000219,9.483634769000219,9.483634769000219,9.483634769000219,9.497109422999984,10.479149572000097,10.479149572000097,12.608444362000228,c,1,2.1238763080000354,None,,,,,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
-150,z,3,3,0,z,1,0.8274925559999247,None,0,3,3,3,,,,,12.619616108000173,,12.608813759999975,12.619616108000173,13.607748619000176,13.607748619000176,13.607748619000176,13.607748619000176,13.620958394000354,14.609169036000367,14.609169036000367,15.439572291000331,z,1,0.8274925559999247,None,,,,,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
-50,x,4,0,1,x,1,0.8078867360000004,None,1,0,4,0,,,,,15.451547936000225,,15.440125741999964,15.451547936000225,16.44272151300038,16.44272151300038,16.44272151300038,16.44272151300038,16.456737931000134,17.443178681000063,17.443178681000063,18.253510084000027,x,1,0.8078867360000004,None,,,,,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
150,v,5,1,1,v,1,0.8958715070002654,None,1,1,5,1,,,,,18.264704774000165,,18.253897197000242,18.264704774000165,19.251180628000384,19.251180628000384,19.251180628000384,19.251180628000384,19.264167507000366,20.258547226000246,20.258547226000246,21.161130183000296,v,1,0.8958715070002654,None,,,,,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
50,c,6,2,1,c,1,0.5273279000002731,None,1,2,6,2,,,,,21.172191919000397,,21.16148935800038,21.172191919000397,22.163261590000275,22.163261590000275,22.163261590000275,22.163261590000275,22.176821035000103,23.16064776500025,23.16064776500025,23.690305654999975,c,1,0.5273279000002731,None,,,,,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
-150,z,7,3,1,z,1,0.6548674430000574,None,1,3,7,3,,,,,23.702187116999994,,23.69075589000022,23.702187116999994,24.688122277000275,24.688122277000275,24.688122277000275,24.688122277000275,24.702482561000124,25.687696634000076,25.687696634000076,26.353094734000024,z,1,0.6548674430000574,None,,,,,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
-50,x,8,0,2,x,1,0.9844945459999508,None,2,0,8,0,,,,,26.363837526000225,,26.353463460000057,26.363837526000225,27.363882715000273,27.363882715000273,27.363882715000273,27.363882715000273,27.363882715000273,28.35261579400003,28.35261579400003,29.35280147499998,x,1,0.9844945459999508,None,,,,,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
150,v,9,1,2,v,1,0.9000560720000976,None,2,1,9,1,,,,,29.364541545000066,,29.35320902600006,29.364541545000066,30.36170753100032,30.36170753100032,30.36170753100032,30.36170753100032,30.36170753100032,31.360701709000296,31.360701709000296,32.26875497300034,v,1,0.9000560720000976,None,,,,,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
