thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,down,0,7.850384715000018,None,0,0,0,0,0,0.05404605400008222,,0.04013723199977903,0.05404605400008222,1.0189350440000453,1.067461226999967,8.905133822999687,down,0,7.850384715000018,None,0,162775,001,2024-09-13_11h36.44.198,signal detection,2024.2.1,91.27350785713871,2024-09-13 11h36.55.185601 +0530,
1,0,1,down,1,2.3144663469997795,None,-3,1,0,1,0,8.947131217999868,,8.905484913999771,8.947131217999868,9.907260377000057,9.949641751999934,12.229937361999873,down,1,2.3144663469997795,None,-3,162775,001,2024-09-13_11h36.44.198,signal detection,2024.2.1,91.27350785713871,2024-09-13 11h36.55.185601 +0530,
2,0,2,down,0,9.735843696000302,None,0,2,0,2,0,12.243817167000088,,12.230205251999905,12.243817167000088,13.23851270499972,13.253120293999928,22.98311181100007,down,0,9.735843696000302,None,0,162775,001,2024-09-13_11h36.44.198,signal detection,2024.2.1,91.27350785713871,2024-09-13 11h36.55.185601 +0530,
3,0,3,down,0,34.877622255999995,None,0,3,0,3,0,22.993937879999976,,22.983417332000045,22.993937879999976,23.99491583000008,23.99491583000008,58.885694496999804,down,0,34.877622255999995,None,0,162775,001,2024-09-13_11h36.44.198,signal detection,2024.2.1,91.27350785713871,2024-09-13 11h36.55.185601 +0530,
4,0,4,down,0,2.570410169999832,None,0,4,0,4,0,58.89742797600002,,58.886117942000055,58.89742797600002,59.89295947099981,59.90760386300008,62.468168561999846,down,0,2.570410169999832,None,0,162775,001,2024-09-13_11h36.44.198,signal detection,2024.2.1,91.27350785713871,2024-09-13 11h36.55.185601 +0530,
5,0,5,down,0,73.31576772500011,None,0,5,0,5,0,62.479106881999996,,62.46842757600007,62.479106881999996,63.468765344000076,63.48221411199984,136.79546260100005,down,0,73.31576772500011,None,0,162775,001,2024-09-13_11h36.44.198,signal detection,2024.2.1,91.27350785713871,2024-09-13 11h36.55.185601 +0530,
6,0,6,down,1,4.614222221999626,None,0,6,0,6,0,136.8130729469999,,136.7958103850001,136.8130729469999,137.80565327099976,137.82055081499993,142.42599374699967,down,1,4.614222221999626,None,0,162775,001,2024-09-13_11h36.44.198,signal detection,2024.2.1,91.27350785713871,2024-09-13 11h36.55.185601 +0530,
7,0,7,down,1,19.062106572000175,None,4,7,0,7,0,142.43773852100003,,142.42660183199996,142.43773852100003,143.42320753600006,143.43834036599992,162.49403706199973,down,1,19.062106572000175,None,4,162775,001,2024-09-13_11h36.44.198,signal detection,2024.2.1,91.27350785713871,2024-09-13 11h36.55.185601 +0530,
8,0,8,down,0,0.4017336179999802,None,0,8,0,8,0,162.50450294699976,,162.49431117999984,162.50450294699976,163.49524625000004,163.51041359400006,163.90227849099983,down,0,0.4017336179999802,None,0,162775,001,2024-09-13_11h36.44.198,signal detection,2024.2.1,91.27350785713871,2024-09-13 11h36.55.185601 +0530,
9,0,9,down,0,0.6791793900001721,None,0,9,0,9,0,163.91411424699982,,163.90266958899974,163.91411424699982,164.9113762689999,164.92641436699978,165.5979838039998,down,0,0.6791793900001721,None,0,162775,001,2024-09-13_11h36.44.198,signal detection,2024.2.1,91.27350785713871,2024-09-13 11h36.55.185601 +0530,
