thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,down,0,4.637899510998977,None,0,0,0,0,0,0.05592791799972474,,0.04204315800052427,0.05592791799972474,1.0299265850007941,1.0629564310002024,5.703925054000138,down,0,4.637899510998977,None,0,124017,001,2024-09-14_13h45.18.201,signal detection,2024.2.1,None,2024-09-14 13h45.43.945792 +0530,
1,0,1,down,1,0.11159531399971456,None,4,1,0,1,0,5.759237641001164,,5.704222255000786,5.759237641001164,6.71196414500082,6.7612283199996455,6.830448226999579,down,1,0.11159531399971456,None,4,124017,001,2024-09-14_13h45.18.201,signal detection,2024.2.1,None,2024-09-14 13h45.43.945792 +0530,
2,0,2,down,1,0.06388850800067303,None,3,2,0,2,0,6.843359899999996,,6.830859797000812,6.843359899999996,7.833366049000688,7.850447941000311,7.905541799000275,down,1,0.06388850800067303,None,3,124017,001,2024-09-14_13h45.18.201,signal detection,2024.2.1,None,2024-09-14 13h45.43.945792 +0530,
3,0,3,up,1,0.23100148099911166,None,0,3,0,3,0,7.917463824000151,,7.90580152199982,7.917463824000151,8.912188903001152,8.929811342999528,9.152080351999757,up,1,0.23100148099911166,None,0,124017,001,2024-09-14_13h45.18.201,signal detection,2024.2.1,None,2024-09-14 13h45.43.945792 +0530,
4,0,4,down,0,0.37718459500138124,None,0,4,0,4,0,9.163501469000039,,9.152349833000699,9.163501469000039,10.152292537999529,10.175178864001282,10.532953631000055,down,0,0.37718459500138124,None,0,124017,001,2024-09-14_13h45.18.201,signal detection,2024.2.1,None,2024-09-14 13h45.43.945792 +0530,
5,0,5,down,0,None,None,0,5,0,5,0,10.547231693000867,,10.53336353800114,10.547231693000867,11.54837382200094,11.54837382200094,11.771781896000903,down,0,None,None,0,124017,001,2024-09-14_13h45.18.201,signal detection,2024.2.1,None,2024-09-14 13h45.43.945792 +0530,
6,0,6,down,0,0.9756481860003987,None,0,6,0,6,0,11.782988028000545,,11.77204213799996,11.782988028000545,12.782946792000075,12.782946792000075,13.771695243000067,down,0,0.9756481860003987,None,0,124017,001,2024-09-14_13h45.18.201,signal detection,2024.2.1,None,2024-09-14 13h45.43.945792 +0530,
7,0,7,down,0,0.0912554229998932,None,0,7,0,7,0,13.78361920200041,,13.771954964000543,13.78361920200041,14.780612484000812,14.7982136669998,14.888567551999586,down,0,0.0912554229998932,None,0,124017,001,2024-09-14_13h45.18.201,signal detection,2024.2.1,None,2024-09-14 13h45.43.945792 +0530,
8,0,8,down,0,0.037086946998897474,None,0,8,0,8,0,14.900580042000001,,14.888827378001224,14.900580042000001,15.897807141000158,15.914876150000055,15.940822975000629,down,0,0.037086946998897474,None,0,124017,001,2024-09-14_13h45.18.201,signal detection,2024.2.1,None,2024-09-14 13h45.43.945792 +0530,
9,0,9,down,1,0.906553436001559,None,-3,9,0,9,0,15.952969305000806,,15.941105141000662,15.952969305000806,16.9482889789997,16.96666032200119,17.85772307300067,down,1,0.906553436001559,None,-3,124017,001,2024-09-14_13h45.18.201,signal detection,2024.2.1,None,2024-09-14 13h45.43.945792 +0530,
