trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.042044299974804744,,0.006331299984594807,5,0.042044299974804744,0.042044299974804744,0.024203200009651482,2.8042661999934353,[-0.355625],[-0.186875],[1],[0],[0],[2.779270400002133],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
1,0,1,0,2.830890199984424,,2.8085806999879424,5,2.830890199984424,2.830890199984424,0.014610800018999726,4.797560599981807,[-0.280625],[-0.43],[1],[0],[0],[1.97456040000543],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
2,0,2,0,4.826230799983023,,4.801067699998384,5,4.826230799983023,4.826230799983023,0.015744300006190315,6.603933899983531,[-0.33375],[0.384375],[1],[0],[0],[1.787723300018115],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
3,0,3,0,6.648823099996662,,6.607715199992526,10,6.648823099996662,6.648823099996662,0.029755499999737367,8.736564399994677,[0.44875],[0.453125],[1],[0],[0],[2.0994213999947533],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
4,0,4,0,8.769573499972466,,8.740724399976898,5,8.769573499972466,8.769573499972466,0.02018540000426583,10.40270629999577,[-0.26875],[0.459375],[1],[0],[0],[1.6423161000129767],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
5,0,5,0,10.44777069997508,,10.406299099995522,10,10.44777069997508,10.44777069997508,0.0315386000147555,12.536476299981587,[0.175],[-0.304375],[1],[0],[0],[2.0989416999800596],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
6,0,6,0,12.59070079997764,,12.540071199997328,10,12.59070079997764,12.59070079997764,0.03511440000147559,14.386536699981662,[-0.34375],[-0.45875],[1],[0],[0],[1.811691000009887],[],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
7,0,7,0,14.413411199988332,,14.389565299992682,5,14.413411199988332,14.413411199988332,0.014165100001264364,16.303422699973453,[0.343125],[-0.280625],[1],[0],[0],[1.8997506000159774],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
8,0,8,0,16.32879019997199,,16.30624129998614,5,16.32879019997199,16.32879019997199,0.01308109998353757,18.15269079999416,[0.44125],[-0.41875],[1],[0],[0],[1.833559199993033],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
9,0,9,0,18.18112489997293,,18.156223999976646,5,18.18112489997293,18.18112489997293,0.01619120000395924,19.85426529997494,[-0.143125],[-0.159375],[1],[0],[0],[1.6822073999792337],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
