study_text,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,text.stopped,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
board,0,0,0,1.1933333333333334,9.543140866000613,,,,,,,,,,0,0,0,4,,,,,0.13459943599991675,,0.07507714500025031,0.13459943599991675,0.13459943599991675,8.161267823999879,9.64422069000102,1.1933333333333334,9.543140866000613,,,,,,,,,,,,,,,228375,001,2024-10-25_12h20.13.366,word priming,2024.2.1,None,2024-10-25 12h20.19.898085 +0530,
police,1,1,0,1.2,0.8418167780000658,,,,,,,,,,0,1,1,12,,,,,9.66490202300156,,9.650353602000905,9.66490202300156,9.66490202300156,,10.516713700000764,1.2,0.8418167780000658,,,,,,,,,,,,,,,228375,001,2024-10-25_12h20.13.366,word priming,2024.2.1,None,2024-10-25 12h20.19.898085 +0530,
t-shirt,2,2,0,1.2,0.6428076200008945,,,,,,,,,,0,2,2,7,,,,,10.536873240000205,,10.522910179000974,10.536873240000205,10.536873240000205,,11.194073357000889,1.2,0.6428076200008945,,,,,,,,,,,,,,,228375,001,2024-10-25_12h20.13.366,word priming,2024.2.1,None,2024-10-25 12h20.19.898085 +0530,
chart,3,3,0,1.2,0.7475942080000095,,,,,,,,,,0,3,3,6,,,,,11.218250108000575,,11.198197391000576,11.218250108000575,11.218250108000575,,11.974073072000465,1.2,0.7475942080000095,,,,,,,,,,,,,,,228375,001,2024-10-25_12h20.13.366,word priming,2024.2.1,None,2024-10-25 12h20.19.898085 +0530,
keys,4,4,0,1.2,0.6468762029999198,,,,,,,,,,0,4,4,13,,,,,11.993659919000493,,11.979401612999936,11.993659919000493,11.993659919000493,,12.655174853000062,1.2,0.6468762029999198,,,,,,,,,,,,,,,228375,001,2024-10-25_12h20.13.366,word priming,2024.2.1,None,2024-10-25 12h20.19.898085 +0530,
cruise,5,5,0,5,1.721350256999358,,,,,,,,,,0,5,5,11,,,,,12.678332567000325,,12.659006190000582,12.678332567000325,12.678332567000325,,14.406237935001627,5,1.721350256999358,,,,,,,,,,,,,,,228375,001,2024-10-25_12h20.13.366,word priming,2024.2.1,None,2024-10-25 12h20.19.898085 +0530,
pastry,6,6,0,5,1.046720174001166,,,,,,,,,,0,6,6,9,,,,,14.4291557810011,,14.409566848000395,14.4291557810011,14.4291557810011,,15.480135662000976,5,1.046720174001166,,,,,,,,,,,,,,,228375,001,2024-10-25_12h20.13.366,word priming,2024.2.1,None,2024-10-25 12h20.19.898085 +0530,
book,7,7,0,1,3.2004672380007833,,,,,,,,,,0,7,7,0,,,,,15.502464029001203,,15.483108060001541,15.502464029001203,15.502464029001203,,18.70918089800034,1,3.2004672380007833,,,,,,,,,,,,,,,228375,001,2024-10-25_12h20.13.366,word priming,2024.2.1,None,2024-10-25 12h20.19.898085 +0530,
marble,8,8,0,3.6133333333333333,1.6489042140001402,,,,,,,,,,0,8,8,3,,,,,18.735923684000227,,18.712806305000413,18.735923684000227,18.735923684000227,,20.384601208001186,3.6133333333333333,1.6489042140001402,,,,,,,,,,,,,,,228375,001,2024-10-25_12h20.13.366,word priming,2024.2.1,None,2024-10-25 12h20.19.898085 +0530,
laptop,9,9,0,1,2.7614402930012147,,,,,,,,,,0,9,9,5,,,,,20.40871291000076,,20.38850722800089,20.40871291000076,20.40871291000076,,23.177846004000457,1,2.7614402930012147,,,,,,,,,,,,,,,228375,001,2024-10-25_12h20.13.366,word priming,2024.2.1,None,2024-10-25 12h20.19.898085 +0530,
case,10,10,0,1,0.7567982279997523,,,,,,,,,,0,10,10,10,,,,,23.200522144999923,,23.180982378000408,23.200522144999923,23.200522144999923,,23.962168685000506,1,0.7567982279997523,,,,,,,,,,,,,,,228375,001,2024-10-25_12h20.13.366,word priming,2024.2.1,None,2024-10-25 12h20.19.898085 +0530,
phone,11,11,0,1,0.5260750550005469,,,,,,,,,,0,11,11,2,,,,,23.985974298000656,,23.96902568800033,23.985974298000656,23.985974298000656,,24.521129307000592,1,0.5260750550005469,,,,,,,,,,,,,,,228375,001,2024-10-25_12h20.13.366,word priming,2024.2.1,None,2024-10-25 12h20.19.898085 +0530,
cushion,12,12,0,1,0.6752566539998952,,,,,,,,,,0,12,12,1,,,,,24.544037263000064,,24.525093147000007,24.544037263000064,24.544037263000064,,25.22549726500074,1,0.6752566539998952,,,,,,,,,,,,,,,228375,001,2024-10-25_12h20.13.366,word priming,2024.2.1,None,2024-10-25 12h20.19.898085 +0530,
mouse,13,13,0,2.8266666666666667,1.3253134079986921,,,,,,,,,,0,13,13,8,,,,,25.248415326001123,,25.22874273100024,25.248415326001123,25.248415326001123,,26.57986342300137,2.8266666666666667,1.3253134079986921,,,,,,,,,,,,,,,228375,001,2024-10-25_12h20.13.366,word priming,2024.2.1,None,2024-10-25 12h20.19.898085 +0530,
poster,14,14,0,3.473333333333333,1.2479251860004297,,,,,,,,,,0,14,14,14,,,,,26.6035077810011,,26.583529523000834,26.6035077810011,26.6035077810011,,27.857395815000928,3.473333333333333,1.2479251860004297,,,,,,,,,,,,,,,228375,001,2024-10-25_12h20.13.366,word priming,2024.2.1,None,2024-10-25 12h20.19.898085 +0530,
,0,0,0,,,p_st_r,"pastry
",[],[],[],[],[],[],[],,,,,0,0,0,9,27.898381311000776,,,,,,,,,27.87382677000096,27.898381311000776,27.898381311000776,27.898381311000776,0.016440907998912735,37.87315195000156,"pastry
",[],[],[],[],[],[],[],228375,001,2024-10-25_12h20.13.366,word priming,2024.2.1,None,2024-10-25 12h20.19.898085 +0530,
